PuzzleId,GameId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,OpeningTags
000lC,vaqz2bx6#37,3r3r/pQNk1ppp/1qnb1n2/1B6/8/8/PPP3PP/3R1R1K w - - 5 19,d1d6 d7d6 b7b6 a7b6,1434,75,94,4523,['advantage' 'hangingPiece' 'middlegame' 'short'],
000mr,8sVpuwso#81,5r1k/5rp1/p7/1b2B2p/1P1P1Pq1/2R1Q3/P3p1P1/2R3K1 w - - 0 41,e3g3 f7f4 e5f4 f8f4,1957,84,62,104,['crushing' 'middlegame' 'short'],
000o3,BAY91mF3/black#86,8/2p1k3/6p1/1p1P1p2/1P3P2/3K2Pp/7P/8 b - - 1 43,e7d6 d3d4 g6g5 f4g5,944,77,87,184,['crushing' 'endgame' 'pawnEndgame' 'short' 'zugzwang'],
000qP,r4xUR6fC#101,8/7R/8/5p2/4bk1P/8/2r2K2/6R1 w - - 7 51,f2f1 f4f3 f1e1 c2c1 e1d2 c1g1,2003,78,92,983,['crushing' 'endgame' 'exposedKing' 'long' 'skewer'],
000rO,tzeeBEc2#115,3R4/8/K7/pB2b3/1p6/1P2k3/3p4/8 w - - 4 58,a6a5 e5c7 a5b4 c7d8,1110,82,85,70,['crushing' 'endgame' 'fork' 'master' 'short'],
000rZ,seIMDWkD#25,2kr1b1r/p1p2pp1/2pqb3/7p/3N2n1/2NPB3/PPP2PPP/R2Q1RK1 w - - 2 13,d4e6 d6h2,923,91,100,400,['kingsideAttack' 'mate' 'mateIn1' 'oneMove' 'opening'],['Scandinavian_Defense' 'Scandinavian_Defense_Modern_Variation']
00143,jcuxlI63/black#34,r2q1rk1/5ppp/1np5/p1b5/2p1B3/P7/1P3PPP/R1BQ1RK1 b - - 1 17,d8f6 d1h5 h7h6 h5c5,1814,76,91,2882,['advantage' 'middlegame' 'short'],['Scotch_Game' 'Scotch_Game_Mieses_Variation']
0017R,ol84k0z4/black#24,r2qk2r/pp2ppbp/1n1p2p1/3Pn3/2P5/2NBBP1P/PP3P2/R2QK2R b KQkq - 0 12,e5c4 d3c4 b6c4 d1a4 d8d7 a4c4,1548,76,96,4226,['advantage' 'fork' 'long' 'middlegame'],['Alekhine_Defense' 'Alekhine_Defense_Other_variations']
0018P,Xg1Gtfjr/black#88,5R2/1p6/p1p5/2P1rk2/2K3p1/2P1p1P1/1P5P/8 b - - 1 44,f5e6 f8e8 e6f5 e8e5 f5e5 c4d3 e5d5 d3e3 a6a5 e3f4 d5c4 f4g4,1765,74,90,204,['crushing' 'endgame' 'exposedKing' 'rookEndgame' 'veryLong'],
0018S,H1ARO2GL/black#40,2kr3r/pp3p2/4p2p/1N1p2p1/3Q4/1P1P4/2q2PPP/5RK1 b - - 1 20,b7b6 d4a1 a7a5 f1c1,2584,111,90,1806,['advantage' 'endgame' 'pin' 'short'],
001Fg,y0QalMAw#59,2R2r1k/pQ4pp/5rp1/3B4/q2n4/7P/P4PP1/5RK1 w - - 3 30,c8c7 d4e2 g1h2 a4f4 h2h1 e2g3 f2g3 f4f1,1446,76,94,1439,['advantage' 'middlegame' 'veryLong'],
001Hi,tUkE0z1z/black#46,6k1/pp1r1pp1/1qp1p2p/4P2P/5Q2/1P4R1/P1Pr1PP1/R5K1 b - - 4 23,b6d4 f4f6 d4f2 f6f2 d2f2 g1f2,2389,115,58,20,['advantage' 'endgame' 'long' 'pin'],
001KR,TaT1Zl7z/black#56,6Qk/p1p3pp/4N3/1p6/2q1r1n1/2B5/PP4PP/3R1R1K b - - 0 28,h8g8 f1f8,552,83,100,124,['mate' 'mateIn1' 'middlegame' 'oneMove'],
001Oo,8IKs77O9/black#46,6k1/4p1bp/6p1/1p1pP3/1PpPp3/2P1P3/Q2B1KPP/3q4 b - - 2 23,d1a4 a2a4 b5a4 b4b5 g8f7 b5b6,2078,78,84,61,['crushing' 'endgame' 'long' 'quietMove'],
001Wz,84RH3LaP/black#42,4r1k1/5ppp/r1p5/p1n1RP2/8/2P2N1P/2P3P1/3R2K1 b - - 0 21,e8e5 d1d8 e5e8 d8e8,1118,82,89,81,['backRankMate' 'endgame' 'mate' 'mateIn2' 'short'],
001XA,KZRiN695/black#46,1qr2rk1/pb2bppp/8/8/2p1N3/P1Bn2P1/2Q2PBP/1R3RK1 b - - 3 23,b8c7 b1b7 c7b7 e4f6 e7f6 g2b7,1656,75,91,1339,['crushing' 'discoveredAttack' 'long' 'master' 'middlegame' 'sacrifice'],
001aK,Epr0AiEh/black#66,6k1/5p2/4p3/P1B5/2P4P/4Pnp1/Rb1rN3/5K2 b - - 1 33,d2e2 f1e2 g3g2 e3e4 f3d4 e2f2,1978,76,91,295,['crushing' 'endgame' 'hangingPiece' 'long' 'quietMove'],
001cr,7FFNwibw/black#76,8/3B2pp/p5k1/2p3P1/1p1p1K2/8/1P6/8 b - - 0 38,c5c4 d7e8,1601,82,93,2297,['bishopEndgame' 'endgame' 'mate' 'mateIn1' 'oneMove'],
001gi,1sV2Hr22#35,r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,c7a8 a5c3,820,119,69,262,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],['Sicilian_Defense' 'Sicilian_Defense_Other_variations']
001h8,IxCahP6X/black#68,2r3k1/2r4p/4p1p1/1p1q1pP1/p1bP1P1Q/P6R/5B2/2R3K1 b - - 5 34,c4e2 h4h7 c7h7 c1c8 g8g7 c8c7,1780,76,88,619,['crushing' 'deflection' 'kingsideAttack' 'long' 'middlegame' 'sacrifice'],
001kG,xXAEaVto/black#22,rnbq3r/1p2bkpp/p4n2/8/2pNP3/2N5/PPP3PP/R1BQ1RK1 b - - 1 11,e7c5 d1h5 f7g8 h5c5,1918,75,96,643,['advantage' 'opening' 'pin' 'short'],['Sicilian_Defense' 'Sicilian_Defense_Najdorf_Variation']
001m3,LELOz22f#75,7r/6k1/2b1pp2/8/P1N3p1/5nP1/4RP2/Q4K2 w - - 2 38,e2e6 h8h1 f1e2 h1a1,1459,76,87,278,['advantage' 'endgame' 'short' 'skewer'],
001om,VWOIWtIh#51,5r1k/pp4pp/5p2/1BbQp1r1/6K1/7P/1PP3P1/3R3R w - - 2 26,g4h4 c5f2 g2g3 f2g3,1018,80,89,226,['mate' 'mateIn2' 'middlegame' 'morphysMate' 'short'],
001pC,d04UP3XD#35,r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,f1g1 h3f2,876,75,91,430,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],['Sicilian_Defense' 'Sicilian_Defense_McDonnell_Attack']
001u3,BBn6ipaK/black#66,2r3k1/p1q2pp1/Q3p2p/b1Np4/2nP1P2/4P1P1/5K1P/2B1N3 b - - 3 33,c7b6 a6c8 g8h7 c8b7,2190,80,55,82,['advantage' 'hangingPiece' 'middlegame' 'short'],
001uD,2qkVLUl6/black#64,6k1/1p3pp1/1p5p/2r1p3/2n5/r3PN2/2RnNPPP/2R3K1 b - - 1 32,f7f6 f3d2 c4d2 c2d2 c5c1 e2c1,1835,76,92,960,['advantage' 'long' 'middlegame'],
001w5,0e1vxAEn/black#58,1rb2rk1/q5P1/4p2p/3p3p/3P1P2/2P5/2QK3P/3R2R1 b - - 0 29,f8f7 c2h7 g8h7 g7g8q,1039,80,85,212,"['advancedPawn' 'attraction' 'mate' 'mateIn2' 'middlegame' 'promotion'
 'short']",
001wR,ruvbd9JW/black#52,6nr/pp3p1p/k1p5/8/1QN5/2P1P3/4KPqP/8 b - - 5 26,b7b5 b4a5 a6b7 c4d6 b7b8 a5d8,1186,80,93,2605,['endgame' 'long' 'mate' 'mateIn3'],
001wb,hNzYRMWP#33,r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,h2g3 g6h5,1207,76,94,212,['mate' 'mateIn1' 'middlegame' 'oneMove'],['Ruy_Lopez' 'Ruy_Lopez_Bird_Variation']
001wr,KnJ2mojX#35,r4rk1/p3ppbp/Pp1q1np1/3PpbB1/2B5/2N5/1PPQ1PPP/3RR1K1 w - - 4 18,f2f3 d6c5 g1h1 c5c4,946,82,97,2330,['advantage' 'fork' 'master' 'masterVsMaster' 'middlegame' 'short'],['Pirc_Defense' 'Pirc_Defense_Classical_Variation']
001xO,fNCePFgY#37,k1r1b3/p1r1nppp/1p1qpn2/2Np4/1P1P4/PQRBPN2/5PPP/2R3K1 w - - 0 19,d3a6 b6c5 a6c8 c5c4,1710,74,91,1335,['crushing' 'master' 'masterVsMaster' 'middlegame' 'sacrifice' 'short'],['Slav_Defense' 'Slav_Defense_Other_variations']
